ld,Record No,Koala Name,Date,Year,Call Date Time,LAT,LNG,Adult Fate Other,Adult Size,Adult Gender,Adult Situation,Young Present,Adult Fate,Young Fate Other,Koala Found Address,Koala Post Code,LGA,Sick,Injured,Caused By Dog,Orphaned,Under Threat,Dead,Conjunctivitis,Cystitis,Wasted,Vehicle Hit,Road Speed Limit,Fall,Injury Other,Field Comments
31,A 61567,BETTY BEAR,Jan-18,2018,2018-01-12T00:00:00,-26.7844824,151.1151981,,Adult (More than 4kg),,On ground,FALSE,Hospital,,93 High Street,4410,Western Downs Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,,
3,A 66746,ALEX,Jan-18,2018,2018-01-03T00:00:00,-27.2615849,152.0168935,vet,Adult (More than 4kg),,In captivity,FALSE,Hospital,,Plainby Road,4355,Toowoomba Regional ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,100,FALSE,,
61,A 66480,EOA,Jan-18,2018,2018-01-26T00:00:00,-27.8276479,152.1202442,,Adult (More than 4kg),,In captivity,FALSE,Hospital,,311 Hirstglen Road,4359,Toowoomba Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
2,A 66239,WALLY,Jan-18,2018,2018-01-02T00:00:00,-26.7560013,153.0491819,,Adult (More than 4kg),,In tree,FALSE,Hospital,,9  9 BANGALOW CLOSE,4553,Sunshine Coast Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,,
23,A 66244,KELLIE,Jan-18,2018,2018-01-09T00:00:00,-26.7800257,152.7680952,,Adult (More than 4kg),,In tree,FALSE,Hospital,,165 DOYLE ROAD,4552,Sunshine Coast Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
49,A 66248,VAN WYLDER,Jan-18,2018,2018-01-21T00:00:00,-26.8362159,152.964379,,Adult (More than 4kg),,In captivity,FALSE,Hospital,,Australia Zoo (in koala display),4519,Sunshine Coast Regional ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,found in AWH koala enclosure
65,A 66302,TANAKA,Jan-18,2018,2018-01-29T00:00:00,-26.605058,153.003222,,Adult (More than 4kg),,In captivity,FALSE,Hospital,,75 Atkinson Road,4560,Sunshine Coast Regional ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
72,A 63009,FURLONG,Jan-18,2018,2018-01-31T00:00:00,-26.7063194,152.8270198,been in care with KRQ,Young (up to 2kg),,In captivity,FALSE,Hospital,,Cemetary Witta Road,4552,Sunshine Coast Regional ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
6,A 66476,DOA,Jan-18,2018,2018-01-03T00:00:00,-27.4292282,152.4906227,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,1061 Clarendon Road,4311,Somerset Regional ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,
8,A 68460,DOA,Jan-18,2018,2018-01-04T00:00:00,-27.2461108,152.4301633,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,Brisbane Valley Highway,4312,Somerset Regional ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,60,FALSE,,
24,A 64701,DOA,Jan-18,2018,2018-01-10T00:00:00,-27.247637,152.4378176,,Adult (More than 4kg),,On ground,FALSE,Hospital,,Brisbane Valley Highway,4312,Somerset Regional ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,100,FALSE,,
35,A 66525,BOZO,Jan-18,2018,2018-01-13T00:00:00,-27.0884337,152.3748252,,Adult (More than 4kg),,In captivity,FALSE,Hospital,,Abbotsford Street,4313,Somerset Regional ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
44,A 66527,HENRY,Jan-18,2018,2018-01-20T00:00:00,-27.4696373,152.5390049,,Young (up to 2kg),,Other,FALSE,Hospital,,2664 Forest Hill Fernvale Road,4311,Somerset Regional ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
45,A 66526,DAPHNE,Jan-18,2018,2018-01-20T00:00:00,-27.4696373,152.5390049,,Adult (More than 4kg),,On ground,TRUE,Hospital,,2664 Forest Hill Fernvale Road,4311,Somerset Regional ,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
48,A 66529,BETSY,Jan-18,2018,2018-01-21T00:00:00,-27.4669801,152.5959748,RSPCA,Adult (More than 4kg),,In captivity,FALSE,Hospital,,55 Nerreman Road,4306,Somerset Regional ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
51,A 66006,DOA,Jan-18,2018,2018-01-22T00:00:00,-27.4711787,152.5431155,,Sub-Adult (2-4kg),,On ground,FALSE,Hospital,,62 Steinhardt Road,4311,Somerset Regional ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,
1,A 65938,EOA,Jan-18,2018,2018-01-01T00:00:00,-27.9460474,152.7519678,RSPCA,Adult (More than 4kg),,In captivity,FALSE,Hospital,,383 Old Beaudesert Road,4310,Scenic Rim Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,,
25,A 65942,EOA,Jan-18,2018,2018-01-10T00:00:00,-27.8460425,152.6559807,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,89 Wilson Plains Road,4307,Scenic Rim Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
30,A 65943,EOA,Jan-18,2018,2018-01-12T00:00:00,-28.0036853,152.5782286,,Adult (More than 4kg),,On ground,FALSE,Hospital,,581 Lake Moogerah Road,4309,Scenic Rim Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
40,A 64532,CURLY,Jan-18,2018,2018-01-18T00:00:00,-28.0314698,153.1806476,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,3277 Beechmont Road,4275,Scenic Rim Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
57,A 68754,BANDIT,Jan-18,2018,2018-01-25T00:00:00,-28.2221065,152.9031211,RSPCA,Sub-Adult (2-4kg),,In tree,FALSE,Hospital,,363 Running Creek Road,4287,Scenic Rim Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,
60,A 65945,EOA,Jan-18,2018,2018-01-26T00:00:00,-28.01969,152.6723114,,Adult (More than 4kg),,In captivity,FALSE,Hospital,,5 Harm Street,4310,Scenic Rim Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
7,A 65669,LUNA,Jan-18,2018,2018-01-03T00:00:00,-27.5252409,153.2163756,Manly Road Vet,Sub-Adult (2-4kg),,In tree,FALSE,Hospital,,4-10 WINDERMERE ROAD,4161,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,
15,A 65670,DOA,Jan-18,2018,2018-01-07T00:00:00,-27.4877699,153.1884029,,Adult (More than 4kg),,On ground,FALSE,Hospital,,Rickertts Road,4158,Redland City ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,80,FALSE,,
20,A 66243,SAXON,Jan-18,2018,2018-01-08T00:00:00,-27.5248099,153.2780841,,Adult (More than 4kg),,In tree,FALSE,Hospital,,Shore Street W,4163,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,,
38,A 65671,BRIAN,Jan-18,2018,2018-01-17T00:00:00,-27.5282554,153.2758157,,Sub-Adult (2-4kg),,,FALSE,Hospital,,CHANNELL STREET,4163,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,FALSE,,
52,A 44998,MILA,Jan-18,2018,2018-01-22T00:00:00,-27.5548305,153.2728605,Manly Road Vet,Adult (More than 4kg),,In tree,FALSE,Hospital,,46a Clifford Perske Drive,4163,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,,
53,A 44997,LEYLA,Jan-18,2018,2018-01-22T00:00:00,-27.5285141,153.2766308,Manly Road Vet,Adult (More than 4kg),,In tree,FALSE,Hospital,,CRN QUEEN+CHANNEL STREETS,4163,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
58,A 64951,MOET,Jan-18,2018,2018-01-26T00:00:00,-27.5293652,153.2648426,,Adult (More than 4kg),,On ground,FALSE,Hospital,,Waterloo Street,4163,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
67,A 65673,OADBY,Jan-18,2018,2018-01-30T00:00:00,-27.5135521,153.2563326,,Adult (More than 4kg),,In captivity,FALSE,Hospital,,Wellington Street,4160,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
68,a 65674,MADZIA,Jan-18,2018,2018-01-30T00:00:00,-27.5076895,153.2105837,,Adult (More than 4kg),,On ground,FALSE,Hospital,,Parkgrove Street,4159,Redland City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
29,A 62523,TYLER,Jan-18,2018,2018-01-11T00:00:00,-26.374778,153.0096522,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,McKinnon Drive,4565,Noosa Shire ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,,
32,A 62524,CINDY,Jan-18,2018,2018-01-12T00:00:00,-26.2779507,152.8536497,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,635 Upper Pinbarren Creek Road,4571,Noosa Shire ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,,
66,A 62525,CARLY,Jan-18,2018,2018-01-29T00:00:00,-26.3819009,153.0991616,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,Noosa National Park,4567,Noosa Shire ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
10,A 64525,MAISIE,Jan-18,2018,2018-01-05T00:00:00,-27.2143836,152.9370106,RSPCA,Adult (More than 4kg),,In tree,TRUE,Hospital,RSPCA,McCormack Road,4503,Moreton Bay Regional ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
13,A 64526,ALFIE,Jan-18,2018,2018-01-05T00:00:00,-27.2143836,152.9370106,RSPCA,Young (up to 2kg),,In tree,FALSE,Hospital,,McCormack Road,4503,Moreton Bay Regional ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
14,A 66240,RENEGADE,Jan-18,2018,2018-01-06T00:00:00,-27.2934166,152.9853689,,Adult (More than 4kg),,On ground,FALSE,Hospital,,Gympie Road,4501,Moreton Bay Regional ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,70,FALSE,,
18,A 66241,TORI,Jan-18,2018,2018-01-07T00:00:00,-27.2474408,152.9710524,,Adult (More than 4kg),,On ground,FALSE,Hospital,,10 Torrens Road,4503,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
19,A 66242 ,MARILYN,Jan-18,2018,2018-01-07T00:00:00,-27.2479178,152.9686706,,Adult (More than 4kg),,In tree,FALSE,Hospital,,10 TORRENS ROAD,4503,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
21,A 60468,TRISH,Jan-18,2018,2018-01-09T00:00:00,-27.195435,152.99863,,Sub-Adult (2-4kg),,Other,FALSE,Hospital,,106 Potasium Street,4504,Moreton Bay Regional ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
34,A 60469,EOA,Jan-18,2018,2018-01-13T00:00:00,-27.2843665,152.9400905,,Adult (More than 4kg),,On ground,FALSE,Hospital,,48 Oxford Street,4500,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
37,A 66352,DOA,Jan-18,2018,2018-01-16T00:00:00,-27.2859719,152.9409948,,Sub-Adult (2-4kg),,On ground,FALSE,Hospital,,13 Regent Street,4500,Moreton Bay Regional ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,
47,A 66247,HAWK,Jan-18,2018,2018-01-21T00:00:00,-27.2456259,152.9774649,,Adult (More than 4kg),,In tree,FALSE,Hospital,,GOSHAWK DRIVE,4503,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,,
55,A 66353,EOA,Jan-18,2018,2018-01-23T00:00:00,-27.2862811,152.9339368,,Adult (More than 4kg),,On ground,FALSE,Hospital,,6 Jarvis Court,4500,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
62,A 66250,NGARRAMA,Jan-18,2018,2018-01-26T00:00:00,-27.1479795,152.8991268,,Adult (More than 4kg),,On ground,FALSE,Hospital,,Forest Hills Drive,4506,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
64,A 63714,PILGRIM,Jan-18,2018,2018-01-29T00:00:00,-27.2748186,152.9814177,EVE,Adult (More than 4kg),,On ground,FALSE,Other,,Gympie Road,4502,Moreton Bay Regional ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,60,FALSE,,
69,A 66354,IRELAND,Jan-18,2018,2018-01-30T00:00:00,-27.2153735,153.0693591,,Adult (More than 4kg),,In tree,FALSE,Hospital,,22 Morris Road,4022,Moreton Bay Regional ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
70,A 60470,JESSY,Jan-18,2018,2018-01-30T00:00:00,-27.1283534,152.9345998,,Adult (More than 4kg),,In captivity,FALSE,Hospital,,50 Burbury Road,4506,Moreton Bay Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
16,A 64527,JANE,Jan-18,2018,2018-01-07T00:00:00,-27.8094291,153.0940177,RSPCA,Adult (More than 4kg),,In tree,FALSE,Hospital,,1709 Waterford Tamborine Road,4207,Logan City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,FALSE,,
17,A 65941,EOA,Jan-18,2018,2018-01-07T00:00:00,-27.8357396,153.0612213,,Adult (More than 4kg),,In captivity,FALSE,Hospital,,Davidson Road,4280,Logan City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
26,A 63567,GIBSON,Jan-18,2018,2018-01-10T00:00:00,-27.7468552,153.0515295,RSPCA,Young (up to 2kg),,In captivity,FALSE,Hospital,,13 Myall Terrace,4133,Logan City ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,
28,A 64529,J.R.,Jan-18,2018,2018-01-11T00:00:00,-27.7853383,153.039451,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,88 Neville Road,4280,Logan City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
74,A 64534,AMBO,Jan-18,2018,2018-01-31T00:00:00,-27.684619,153.1093297,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,Chambers Flat Road,4133,Logan City ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,60,FALSE,,
22,A 64528,HAYLEY,Jan-18,2018,2018-01-09T00:00:00,-27.5330075,152.4537861,RSPCA,Adult (More than 4kg),,In tree,FALSE,Hospital,,29 Bond Court,4341,Lockyer Valley Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
27,A 66523,FLOWER,Jan-18,2018,2018-01-11T00:00:00,-27.5359057,152.1679499,,Adult (More than 4kg),,In tree,FALSE,Hospital,,McGarvies Road,4347,Lockyer Valley Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,
43,A 66479,EOA,Jan-18,2018,2018-01-19T00:00:00,-27.4625104,152.3875127,,Adult (More than 4kg),,In tree,FALSE,Hospital,,18 Qually Road,4311,Lockyer Valley Regional ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,
4,A 65939,RIPER,Jan-18,2018,2018-01-03T00:00:00,-27.6714179,152.7955209,,Adult (More than 4kg),,On ground,FALSE,Hospital,,Cherish Street,4306,Ipswich City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,,
5,A 65940,BELLA,Jan-18,2018,2018-01-03T00:00:00,-27.6416947,152.7308548,,Adult (More than 4kg),,In tree,TRUE,Hospital,,32 Suffield Drive,4305,Ipswich City ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,
39,A 64531,DOA,Jan-18,2018,2018-01-18T00:00:00,-27.6358755,152.806726,RSPCA,Adult (More than 4kg),,On ground,FALSE,Hospital,,Cunningham Highway,4304,Ipswich City ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,100,FALSE,,
63,A 66301,AUSSIE,Jan-18,2018,2018-01-26T00:00:00,-26.1594342,152.8304602,,Adult (More than 4kg),,On ground,FALSE,Hospital,,KIN KIN GYMPIE ROAD,4570,Gympie Regional ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,100,FALSE,,
11,A 65098,CUSHION,Jan-18,2018,2018-01-05T00:00:00,-27.9606582,153.3739415,CWS,Adult (More than 4kg),,On ground,FALSE,Hospital,,115 Henri Cotton Drive,4214,Gold Coast City,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,
12,A 65099,SHAUN,Jan-18,2018,2018-01-05T00:00:00,-28.1511035,153.417105,CWS,Young (up to 2kg),,In captivity,FALSE,Hospital,,42 Goline Court,4228,Gold Coast City ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,
