Longitude,Latitude,ScientificName,SiteVisitID,StartDate,EndDate,SiteID,SiteCode,LocalityDetails,LocationPrecision,ProjectID,ProjectName,OrganisationID,OrganisationName,OrganisationAcronym
151.612347,-27.371448,Phascolarctos cinereus,2100335,10/9/2022,10/9/2022,1813697,INCIDENTAL,"road reserve, Jondaryan Sabine Road, Jondaryan SEQ",30,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
152.058364,-27.268351,Phascolarctos cinereus,2100095,24/11/2022,24/11/2022,1813647,INCIDENTAL,"parkland, cnr. Charles Street and New England Highway (A3), Crows Nest SEQ",50,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
152.068083,-27.260938,Phascolarctos cinereus,2100137,4/12/2022,4/12/2022,1813725,INCIDENTAL,"Site 3, Dingo Mountain Conservation Area, Crows Nest SEQ",300,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
151.9364833,-27.46445,Phascolarctos cinereus,2100358,27/9/2022,27/9/2022,1813714,INCIDENTAL,"Peacehaven Park, Highfields SEQ",10,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
148.235,-25.06222222,Phascolarctos cinereus,2099806,24/9/2022,24/9/2022,1813857,INCIDENTAL,"QPWS Ranger Base, Carnarvon National Park CQ",10,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
148.2377778,-25.06,Phascolarctos cinereus,2099811,4/4/2022,4/4/2022,1813862,INCIDENTAL,"Carnarvon Gorge Campground, Carnarvon National Park CQ",50,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
148.2352778,-25.06416667,Phascolarctos cinereus,2099812,9/9/2022,9/9/2022,1813863,INCIDENTAL,"QPWS duplex, Carnarvon Gorge barracks, Carnarvon National Park CQ",10,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
148.2444444,-25.07194444,Phascolarctos cinereus,2099813,1/10/2022,1/10/2022,1813864,INCIDENTAL,"Mickey Creek carpark, Carnarvon National Park CQ",10,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
148.1925,-25.07611111,Phascolarctos cinereus,2099814,1/10/2022,1/10/2022,1813865,INCIDENTAL,"uptrack from The Art Gallery, Carnarvon National Park CQ",100,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
151.15567,-26.74814,Phascolarctos cinereus,2100324,7/8/2022,7/8/2022,1813667,INCIDENTAL,"Jandowae Creek, Jandowae SEQ",300,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
151.96481,-27.321176,Phascolarctos cinereus,2076636,16/5/2022,16/5/2022,1794957,INCIDENTAL,"Welke Road, Groomsville SEQ",100,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
151.96481,-27.321176,Phascolarctos cinereus,2076697,13/6/2022,13/6/2022,1794957,INCIDENTAL,"Welke Road, Groomsville SEQ",100,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
151.951493,-27.358828,Phascolarctos cinereus,2076793,10/7/2022,10/7/2022,1795019,INCIDENTAL,"Groomsville Road, Groomsville SEQ",100,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
153.20505,-27.73273,Phascolarctos cinereus,2076794,3/7/2022,10/7/2022,1795020,INCIDENTAL,"33 Thoms Crescent, Mount Warren Park, Logan SEQ",50,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
152.109007,-27.254425,Phascolarctos cinereus,2076552,26/4/2022,26/4/2022,1794917,INCIDENTAL,"camp grounds, Crows Nest Falls Natiuonal Park, Crows Nest SEQ",50,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
152.5358,-27.47821,Phascolarctos cinereus,2076785,10/7/2022,10/7/2022,1795013,INCIDENTAL,"Jensens Swamp Environmental Reserve, Lowood SEQ",200,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS
152.96324,-27.27387,Phascolarctos cinereus,2075572,14/1/2022,15/1/2022,1794363,INCIDENTAL,"Mungarra Reserve, Petrie",10,14499,Terry Reis Incidental Records,199,Private Individual,
152.96211,-27.27547,Phascolarctos cinereus,2072992,28/1/2022,28/1/2022,1794369,INCIDENTAL,"Mungarra Reserve, Petrie",20,14499,Terry Reis Incidental Records,199,Private Individual,
153.0384,-27.5478,Phascolarctos cinereus,2074935,12/1/2022,12/1/2022,1793936,INCIDENTAL,Salisbury Recreation Reserve,10,17100,Stacey McLean Incidental Records,199,Private Individual,
153.0378,-27.537,Phascolarctos cinereus,2074936,9/2/2022,9/2/2022,1793937,INCIDENTAL,Toohey Forest,10,17100,Stacey McLean Incidental Records,199,Private Individual,
153.0409,-27.5479,Phascolarctos cinereus,2074945,10/5/2022,10/5/2022,1793946,INCIDENTAL,Wilcox Park,20,17100,Stacey McLean Incidental Records,199,Private Individual,
152.0253,-27.3767,Phascolarctos cinereus,2100871,24/8/2022,24/8/2022,1814466,INCIDENTAL,New England highway between the townships of Hampton and Geham. Approximately 50 m north of the Merrits Creek Rd intersection.,10,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR
151.9564,-27.5091,Phascolarctos cinereus,2100872,19/9/2022,19/9/2022,1814467,INCIDENTAL,"South lanes of the New England Highway, Mt Kynoch",10,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR
151.9537,-27.5123,Phascolarctos cinereus,2100873,14/11/2022,14/11/2022,1814468,INCIDENTAL,"South lanes of the New England Highway, Mt Kynoch, just south of the rest area",10,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR
152.181533,-27.55392,Phascolarctos cinereus,2100878,8/2/2022,8/2/2022,1814473,INCIDENTAL,"Warrego Highway approximately 100m west of Sandy Creek Road (TMR road 18A section 3, TMR road chainage 69.94km).",5,15779,TMR Darling Downs District Wildlife Records,1981,Department of Transport and Main Roads,DTMR
152.234289,-26.08064252,Phascolarctos cinereus,2125282,4/11/2022,4/11/2022,1830203,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.2336837,-26.08182265,Phascolarctos cinereus,2125283,4/11/2022,4/11/2022,1830204,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.2372837,-26.07216764,Phascolarctos cinereus,2125284,4/11/2022,4/11/2022,1830232,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.2407829,-26.06942939,Phascolarctos cinereus,2125285,4/11/2022,4/11/2022,1830233,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.240102,-26.06899892,Phascolarctos cinereus,2125286,4/11/2022,4/11/2022,1830234,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.2395287,-26.08524764,Phascolarctos cinereus,2125287,4/11/2022,4/11/2022,1830235,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.2453487,-26.07841765,Phascolarctos cinereus,2125288,4/11/2022,4/11/2022,1830236,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.0744537,-26.05981766,Phascolarctos cinereus,2125289,4/11/2022,4/11/2022,1830237,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6866988,-26.3984026,Phascolarctos cinereus,2125290,4/11/2022,4/11/2022,1830238,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6866988,-26.3984026,Phascolarctos cinereus,2125290,4/11/2022,4/11/2022,1830238,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6866988,-26.3984026,Phascolarctos cinereus,2125290,4/11/2022,4/11/2022,1830238,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.8663228,-26.13081144,Phascolarctos cinereus,2125291,17/11/2022,17/11/2022,1830239,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6838963,-26.33703796,Phascolarctos cinereus,2125292,20/10/2022,20/10/2022,1830240,INCIDENTAL,Not recorded,25,17619,Koalas,2621,Gympie Regional Council,GRC
152.4399003,-26.20607732,Phascolarctos cinereus,2125293,18/11/2022,18/11/2022,1830241,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6477328,-26.39895486,Phascolarctos cinereus,2125302,6/11/2022,6/11/2022,1830242,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.7490733,-26.24743277,Phascolarctos cinereus,2125303,15/11/2022,15/11/2022,1830243,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.6836226,-26.41667466,Phascolarctos cinereus,2125304,27/9/2022,27/9/2022,1830244,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
152.7056369,-26.39255696,Phascolarctos cinereus,2125305,25/2/2022,25/2/2022,1830245,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.8158276,-26.11112417,Phascolarctos cinereus,2125306,20/11/2022,20/11/2022,1830246,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
